Name,Cite,z,ZCite,IDunWISE,RA,Dec,W1mag,W2mag,lumbol
IVS B1123-356,1865,0.284,4LAC,1716m364o0024365,171.38121248,-35.95095406,12.594254276694375,11.711543759212525,6.779377816483611E45
RXS J19091+6652,2016,0.191,2016,2857p666o0027289,287.29540635,66.87257706,11.62283000928359,10.637039668644135,6.775270867815561E45
PHL 1194,0282,0.298,0107,0275p090o0025746,27.87852463,9.28996466,12.716299852827367,11.55518702617492,6.76657780371649E45
IRAS 14541+4906,PGC,0.247,DR16,2249p484o0025330,223.95594926,48.91007143,12.25105734770823,10.621398051804292,6.765093760380642E45
2MASSi J1627505+473623,DR7Q,0.262,DR16,2465p469o0033465,246.96062903,47.60656107,12.396814437364425,11.442049212238034,6.763204077187028E45
SDSS J160344.95+524220.6,DR16,0.292,DR16,2416p530o0011004,240.93734423,52.70575647,12.667763340132476,11.69161188560929,6.752629770649897E45
PBC J2157.4-0611,1412,0.176,1412,3296m061o0011350,329.36159425,-6.17152299,11.43193409103872,10.355131721109991,6.738564704147024E45
SDSS J120629.36+281436.1,DR16Q,0.293,DR16Q,1817p287o0004341,181.62232021,28.24339755,12.679919798129044,11.639166710796808,6.730107314810369E45
LAMOSTJ062409.79+273957.6,LAMDR6,0.178,LAMDR6,0963p272o0033288,96.04087471,27.66596276,11.461982160228924,10.495359267485798,6.720406180560039E45
RXS J10412+2828,2129,0.211,DR16Q,1611p287o0007167,160.2998917,28.4681031,11.874743237338434,10.89668661489076,6.708913987593639E45
SDSS J075403.60+481428.0,DR16Q,0.274,DR16Q,1192p484o0009762,118.51504918,48.2411326,12.5166629755191,11.462441360045538,6.707964192099916E45
RXS J00290+1957,2016,0.263,DR16Q,0080p196o0016195,7.26235838,19.95282833,12.415536207894425,11.422234179547138,6.705522523511953E45
ELAIS J16378+4130,1565,0.286,1565,2492p408o0030367,249.46401818,41.50755245,12.623832283602177,11.644486301809144,6.704199843121992E45
UVQSJ093913.42+212428.3,UVQS,0.241,UVQS,1452p212o0014027,144.80592848,21.40787829,12.202025294847084,11.056845116035465,6.694195084743715E45
FBS 0732+396,0007,0.118,DR16Q,1141p393o0015242,114.0963655,39.438292,10.492980199095928,9.494392405937988,6.693517863455909E45
2MASX J14430262+4045247,DR7Q,0.246,DR16,2215p408o0012223,220.76083332,40.75696149,12.2532176735528,11.291923532744743,6.689846663686978E45
UVQSJ182152.32-645512.0,UVQS,0.216,UVQS,2761m652o0027584,275.46802667,-64.92002842,11.93717928004478,10.924667948195465,6.675385315083205E45
LAMOSTJ111322.61+163802.1,LAMQ3,0.285,LAMQ3,1682p166o0010951,168.34415116,16.63406677,12.621231221684944,11.656801209905147,6.666514962550718E45
